reason_for_recall,classification
Potential to be contaminated with Listeria monocytogenes,severe
"River Ranch was notified that two separate samples of products pulled by the FDA which were produced by River Ranch, tested positive for Listeria monocytogenes.",severe
Product may contain undeclared milk.,moderate
Products not manufactured under GMP's,major
"Nestle is recalling a limited number of DiGiorno, Lean Cuisine, and Stouffer's products due to the potential presence of glass pieces.",major
The products may have come into contact with equipment used to process the country ham the supplier recalled for Listeria monocytogenes.,severe
All products manufactured by the firm have the potential to be contaminated with Listeria monocytogenes.,severe
"Bread, muffin, and brownie mixes may have been manufactured with flour contaminated with E. coli O121",severe
Potential contamination with Salmonella Newport.,major
Products have been recalled due to potential for Salmonella contamination.,major
Product has potential to be contaminated with Listeria monocytogenes,severe
Potential Listeria monocytogenes contamination.,severe
Undeclared wheat,moderate
Potential for Listeria monocytogenes contamination,severe
"El Campestre initiated this recall due to the following reason: shrimp are not listed in English, but the whole shrimp are visible.",major
Undeclared egg.,moderate
"Wira Corp. is recalling Jasmine Garlic Flavored Crackers because of undeclared colors FD& C Blue#1, FD & C Yellow # 5 , FD&C Yellow #6 and unapproved food color ingredients Ponceau 4R, E124, (Acid Red 18).",moderate
"Products were labeled with incorrect ingredient listing. The ingredients listed on the label include multiple allergens (almonds, cashews, coconut, hazelnuts, pecans, walnuts, peanuts). Label lists allergens that are not actually in the product. Allergens actually present in the product are: peanuts, almonds, cashews, coconut, hazelnuts, walnuts.",moderate
The firm was manufacturing acidified foods without a license.,major
Product contains undeclared milk.,moderate
"Full Tilt Brand ice cream is being recalled due to the potential to be contaminated with Listeria monocytogenes. These products contain ice cream mix, an ingredient manufactured and recalled by Snoqualmie Gourmet Ice Cream, Inc.",major
"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.). The firm is voluntarily recalling all products manufactured from August 20th to September 10th 2012 due to the possible contamination. All lots with sell by dates on or before",severe
Elevated brand ice cream products are being recalled due to the potential to be contaminated with Listeria monocytogenes.  These products contain ice cream mix produced and recalled by Snoqualmie Gourmet Ice Cream,major
Product may contain undeclared milk.,moderate
"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",severe
"No ingredient statement on pacakge. Product contains undeclared allergens:  wheat, egg, and milk.",moderate
"Undeclared Soy, Yellow #6, Red #40",moderate
Product was labeled as a medical food as opposed to a dietary supplement.,moderate
Metal shavings were found around the perimeter of brownies purchased by customer.,moderate
Firm was notified by supplier that cashew butter used in protein bars is under recall due to the potential of Listeria monocytogenes.,severe
A potential for Listeria monocytogenes contamination was verified by the sunflower kernel raw material supplier.,severe
"A blue plastic bag was inadvertently introduced into product stream. During the manufacturing process, the blue plastic bag was torn into many pieces and ended up in the finished product. While many pieces of the blue plastic bag have been recovered, there is no evidence that all pieces are accounted for.",moderate
Multiple laboratory analysis found multiple instances where various cheeses exceed allowed limits of generic E. coli.,major
JLM Manufacturing initiated a recall on 02/21/2017 of multiple ready to eat sandwiches containing cheese because of a supplier's recall of cheese due to Listeria monocytogenes.,major
Kellogg Company initiated a voluntary recall of multiple snack food items because of the potential for undeclared allergen peanut due to a supplier's recall of flour.,major
"Semolina pasta fails to declare the allergen""wheat""",severe
Undeclared FD&C Red 40,moderate
Products contain onions which were recalled for the possibility of Listeria monocytogenes contamination.,major
Product contains foreign material (nylon string),moderate
Product is being recalled due to undeclared peanuts.,major
"Erring on the side of caution and safety for the consuming public, the University Creamery at Penn State is voluntarily recalling all ice cream and frozen yogurt made between May 16, 2012 and August 11, 2012 because of isolated incidents involving reports of small plastic foreign objects in the product.",moderate
Products may be contaminated with  Listeria monocytogenes.,severe
Products are being recalled because they may have the potential to be contaminated with Listeria monocytogenes,severe
Three sauces contain undeclared soy.,moderate
Product may contain undeclared milk.,moderate
The firm was notified by their supplier that ingredients used in their products were possibly contaminated with Listeria monocytogenes and Salmonella.,severe
"Various Peanut butters, cheese spreads, cold pack cheese, salsa, cheese balls/logs have the potential to be contaminated with Listeria monocytogenes.",severe
Product may contain undeclared milk.,moderate
"Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.",major
Products not manufactured under GMP's,major
Kerry has decided to voluntarily recall its lactic acid containing products because they are contaminated with  metal fragments.,major
"FATwater bottles, Lemon flavor, are recalled due to microbial growth detection.  No E.coli or other pathogens were detected.",major
The products have the potential to be contaminated with Listeria monocytogenes based on the findings of the bacteria in the plant via FDA environmental sampling plus the district's inspectional findings,severe
May be contaminated with Listeria monocytogenes,severe
"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",severe
"In cooperation with the FDA's warning to not consume mangoes from Agricola Daniella in Mexico, Del Monte Fresh Produce N.A., Inc, is initiating a voluntary recall of 1,600 bowls of fresh-cut mangoes distributed to retail outlets due to the potential risk that the mangoes may contain Salmonella. Salmonella is an organism which can cause serious and sometimes fatal infections in young children, frai",major
Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,severe
Dairy Farmers of America Inc. is recalling a number of cheese products due  that a piece of plastic  film strip might remain attached to the cheese slice upon peeling the film from the product.,major
Certain pints of Ben & Jerry s Brownie Batter Core Ice Cream may contain soft plastic pieces.,moderate
Produces contains undeclared milk.,moderate
Coconut is listed in the ingredient statement but is not declared in the Contains statement,moderate
"Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",severe
The products are being recalled due to the receipt of a relatively high number of consumer complaints.,major
Product potentially contaminated with Listeria monocytogenes,severe
Foreign Material - specifically the product has the potential to contain pieces of a red plastic scoop.,moderate
Undeclared codfish powder,moderate
May contain small metal fragments from wire mesh sifter.,moderate
Data obtained from interviews of patients in a multistate outbreak of Salmonella Newport  show Chia Products as the common food consumed,major
Bubble tea powders contain undeclared allergens.,moderate
"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.",major
"Potentially undeclared Yohimbe 83 and complaints of adverse reactions: upset stomach, jittery, sweaty, lightheaded or dizzy.",moderate
"The firm recalled 26 products for undeclared allergens. This product was recalled due to undeclared milk (liquid milk added), FD&C yellow #6, and wheat (flour).",moderate
Undeclared allergen: Bread products were manufactured using raw material (wheat gluten) that was recalled due to undeclared peanut and/or tree nut residue.,major
"Virginia State (VDACS) found Listeria monocytogenes in Lacteos Santa Martha Quesito Casero Fresh Curd (Best by 9/27/14), FDA made an inspection, were the environmental samples collected came up positive also for Listeria monocytogenes, also the Oasis Brands Inc. sent finish products samples to a private lab, the Lacteos Santa Martha Cuajada en Hoja Queso Casero Hecho a Mano Fresh Curd (Best By dates of 10/18/14 and 11/25/14) came also positive for Listeria monocytogenes.  Oasis Brands Inc.  is voluntarily recalling ALL their Lacteos Santa Martha brand products manufactured that are within expiration date.",severe
Recalled products were manufactured with an ingredient that is potentially contaminated with Salmonella.,major
Possible Peanut Protein contamination.,major
"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",severe
Presence of E. coli species,severe
"Bay Valley Foods is voluntarily recalling approximately 430,227 cases of boxed pasta mix products manufactured by its subsidiary STP Specialty Foods, Inc. because the labeling did not include soy lecithin in the ingredient statement.",major
Product may contain undeclared milk.,moderate
All products manufactured by the firm have the potential to be contaminated with Listeria monocytogenes.,severe
Products recalled due to undeclared allergen -milk,major
Potential contamination with Salmonella,major
"Recalled salads, slaw, salsa, bean and dips contained onions that were recalled by Gills Onions due to potential Listeria monocytogenes contamination.",major
"Printing error by the packaging manufacturer erroneously added a ""GF"" symbol to the packages.",severe
"Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",severe
CFIA notified FDA of positive result for Listeria monocytogenes with various best by dates of Sweet Kale Salad Blend.,severe
Undeclared tree nut: Coconut,moderate
Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,severe
Undeclared egg,moderate
"Chapis Spice & Tea is recalling bread crumbs because of undeclared allergens (wheat, milk, eggs, tree nuts, soybean).",moderate
"Pursuant to a consent decree that prohibits the company and its owners for marketing dietary supplements until they, among other things, recall and destroy the dietary supplements that have been manufactured or distributed since April 2, 2014, hire a cGMP expert and receive written permission from FDA to resume operations.",major
Incorrect chemical added into wash systems when certain organic loads of vegetables start to create excessive foaming.  The incorrect chemical added was a lot of foam detergent.,severe
Product contains insufficient Higenamine and the label incorrectly declares Cayenne Pepper (CapsiMax) and Choline Bitartrate.,moderate
Products not manufactured under GMP's,major
IEH sample had positive result for Listeria Monocytogenes of  Purity Brand Organic Fresh Mango.,severe
"Pursuant to a consent decree that prohibits the company and its owners for marketing dietary supplements until they, among other things, recall and destroy the dietary supplements that have been manufactured or distributed since April 2, 2014, hire a cGMP expert and receive written permission from FDA to resume operations.",major
Products were manufactured from raw material (buttermilk solids) that may potentially be contaminated with Salmonella.,major
Product is potentially mislabeled and contains the non-dietary ingredient Picamilon.,moderate
Product contains undeclared milk.,moderate
"Bickel's Snack Foods, Inc. of York, PA is voluntarily recalling all snack products that were made with milk ingredients supplied by one of its' secondary seasoning component suppliers.",major
The recalled products are potentially contaminated with Listeria monocytogenes.,severe
Products have been recalled due to potential for Salmonella contamination.,major
GH Foods CA received notification from Gills onions of a recall of onions due to Listeria Monocytogenes. GH Foods used the recalled onions in numerous product.,major
Customer reported a small piece of rubber inside one variety of the recalled product.,major
Gold Star has recalled GOLD STAR'S FINEST COLD SMOKED STEELHEAD due to Listeria monocytogenes contamination.,major
Whole Red Raspberries are recalled due to potential contamination with Norovirus.,major
"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.).  The firm is voluntarily recalling all products manufactured from August 20th to September 10th 2012 due to the possible contamination.  All lots with sell by dates on or befo",severe
Not Ready To Eat IQF Peas and Carrots are recalled because they have a potential to be contaminated with Listeria monocytogenes.,severe
The firm is recalling all herbal and dietary supplements because they were not manufactured in compliance with the current Good Manufacturing Practice regulations for Dietary Supplements.,major
Camaron Molido Ground Shrimp sampling analysis revealed the product contains undeclared FD&C Red #40 and it also contains unallowed dye: 16255 - Ponceau 4R (E124) - Acid Red 18,moderate
Mitragyna Speciosa Leaf Powder Thai Maeng Da Kratom product is being recalled because they have the potential to be contaminated with Salmonella,major
Products have the potential to be contaminated with Listeria monocytogenes.,severe
The products are being recalled due to the receipt of a relatively high number of consumer complaints.,major
"Sunflower kernels in this product are contaminated with Listeria Monocytogenes per the original supplier, SunOpta.",severe
Products not manufactured under GMP's,major
"Agridient Inc. received information that gluten they had repackaged and distributed contained undeclared allergen peanut.  Agridient Inc. distributed gluten with undeclared allergen peanut to two customers and issued notice of recall to one customer on 02/05/2015, and the second customer on 02/21/2015 via emailed letter.",moderate
The firm was notified that the product did not have an ingredient panel or firm information on the label.,moderate
Health One Pharmaceuticals is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,major
Product may contain undeclared milk.,moderate
Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,severe
Pre-portioned sugar cookie dough contains undeclared milk and pre-portioned walnut chocolate chunk cookie dough contains undeclared egg.,moderate
"One lot of Vic's Original White Popcorn 1-1/8oz size bags contains an undeclared milk allergen.  White Cheddar Popcorn, a product containing milk, was distributed in packaging for a different product, Original White Popcorn.",moderate
Potentially contaminated with Listeria monocytogenes,severe
Product may contain undeclared peanut protein.,moderate
Products contain an arborio rice ingredient that was recalled by the supplier because it contains glass,major
Metal,severe
The World's Finest Mixed Fruit is recalled because it contains Bidart's Granny Smith apples that have been implicated in a Listeria monocytogenes outbreak,severe
Product contains undeclared sulfites.,moderate
"Whole Foods Market in Florida recalled certain fresh food items sold in the prepared foods department and one item in the seafood department as they could of been made using raw yellow onions processed by Gill Onions, LLC. Gill Onions, LLC initiated a recall on their product due to possible Listeria monocytogenes contamination.",major
Reports of clear and green plastic pieces in cookies.,severe
"Bread, muffin, and brownie mixes may have been manufactured with flour contaminated with E. coli O121",severe
"Specific Ortega Brand Taco Seasoning, Taco Sauce, Taco Dinner Kits, and Enchilada Sauce, and Las Palmas brand Taco Seasoning and Taco Sauce products are being recalled because one or more of the spice ingredients may contain peanuts and almonds.",major
May contain small metal fragments from wire mesh sifter.,moderate
"During an FDA inspection the firm was notified that their bulk product lacked labels. Due to the lack of ingredient statement, the firm failed to declare direct allergens for the products. The products also lacked the declaration that they are packaged in a facility that processes peanuts, tree nuts, wheat, milk and eggs.",major
Apple Cinnamon Protein Punch Energy Ball product is recalled because it has the potential to be contaminated with Listeria monocytogenes.  This product contains sunflower kernels that were recalled by supplier SunOpta.,severe
Some flour and flour blends produced at Dakota Specialty Milling have the potential to be contaminated with pliable metal wire mesh fragments from a defective flour sifter.,severe
Undeclared Allergen - Soy,moderate
Our product was recalled because one of the ingredients used was subject to the Gills Onion 07/25/2012 onion recall .  That ingredient was sold to us from Sysco Detroit.,major
"Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.",major
Products may be contaminated with  Listeria monocytogenes.,severe
Kerry has decided to voluntarily recall its lactic acid containing products because they are contaminated with  metal fragments.,major
An FDA inspection at  the manufacturing facility found seven products that do not properly declare wheat as a sub-ingredient of soy sauce in the ingredient list.  Wheat is listed in the Contains statement.,major
Gluten Protein detected up to 50 ppm in product with gluten free statement.,moderate
BrandStorm is recalling Organic Carob Powder because it may be contaminated with Salmonella.,severe
Undeclared soy lecithin. The canola oil used to grease pans was found to contain soy lecithin.,moderate
Bergin Fruit and Nut Company is initiating a recall on a number of pistachio products  manufacturing using pistachios supplied by ARO Pistachio Company. The recall was initiated because Salmonella was found in the environment at  the ARO Pistachio Company.,major
Product contains foreign material (nylon string),moderate
Possible contamination with Salmonella.Products contains JM Smucker's Jif To Go Natural creamy peanut butter spread NET WT 1.5oz (43g) cups.,major
Undeclared whey protein which contains milk and soy lecithin.,moderate
Product contains unintentional presence of milk and therefore milk was not listed on the label as an ingredient.,moderate
Products contain soy  ingredients not declared on the label.,moderate
Incorrect chemical added into wash systems when certain organic loads of vegetables start to create excessive foaming.  The incorrect chemical added was a lot of foam detergent.,severe
Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.,severe
"Undeclared soy lecithin. The firm used Canola oil cooking spray, which contains soy lecithin, in  the manufacture of product but soy or soy lecithin is not declared on finished product label.",moderate
"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.",major
USDA MDP Sampling found a positive result for Salmonella in Alfalfa Sprouts grown by Banner Mountain Sprouts.,major
Potential hazard of Clostridium botulinum toxin formation as a result of temperature abuse during storage.,severe
Product contains an ingredient that was recalled by a supplier because it may be contaminated with Salmonella.,moderate
Products recalled due to potential contamination with Listeria monocytogenes,major
Product was found positive for Salmonella,moderate
potential Allergen cross contact in oil used to roast various nuts and seeds products.,major
"There was a change in Canadian labeling regulations where lactose was no longer sufficient, the label needed to stated ""contains milk""",moderate
Firm was notified by CFIA and FDA that CFIA testing found undeclared milk allergen in the product.,moderate
Products contain undeclared soy lecithin,moderate
Product is being recalled due to undeclared walnuts.,major
The potato in the potato soup is treated with sulfites.  Sulfites were not declared on the firm's product label.,moderate
"FDA environmental sampling found 21 of 50 positive for Listeria monocytogenes, 11 of these on food contact surfaces.",severe
During manufacturing pieces of hard clear plastic was found. Upon investigation the source was identified as ice purchased from supplier.,moderate
Product may be contaminated with Salmonella.,moderate
Greek yogurt product Chobani brand is recalled due to report of illnesses and product bloated and swollen.,major
Consumer complaints related to Cronobacter sakazakii or Salmonella Newport in infants and evidence of Cronobacter sakazakii in the manufacturing facility where the product had been produced,moderate
Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,severe
CFIA notified FDA of positive result for Listeria monocytogenes with various best by dates of Sweet Kale Salad Blend.,severe
The product was found to contain undeclared eggs based on sampling and analysis by New York State Department of Agriculture & Markets.,moderate
"Source of whey and casein ingredient not listed as milk, an allergen.Consumers who have an allergy or severe sensitivity to milk run the risk of a serious or life-threatening allergic reaction if they consume these products.",moderate
Some flour and flour blends produced at Dakota Specialty Milling have the potential to be contaminated with pliable metal wire mesh fragments from a defective flour sifter.,severe
Product may have been sliced on the same equipment where the mortadella with pistachios was sliced.,moderate
"Arise & Shine Herbal Products, Inc. is voluntarily recalling Hydrated Bentonite 32 oz liquid pouch due to mis-labeling. The product is labeled as containing 0% Daily Value of iron and  actually contains 106% Daily Value of iron.",major
Notified by supplier of spinach that product showing the presence of Listeria Monocytogenes was erroneously shipped and used in further manufacturing of products.,severe
Products recalled due to potential contamination with Listeria monocytogenes or Salmonella.,major
Product has the potential to be contaminated with Listeria monocytogenes.,severe
"A voluntary limited recall has been initiated by Jer's Chocolates of some of its Gourmet Peanut Butter Bars and Gourmet Jer's Squares produced from July 9, 2012 to September 24, 2012 in response to Sunland, Inc.'s voluntary recall of nut butter products because they have the potential to be contaminated with Salmonella.  Sunland, Inc. supplies the peanut butter used in the production of Jer's Choc",major
Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,major
Potential contamination with Salmonella Newport  in onions and prepared foods containing onions.,major
"Pursuant to a consent decree that prohibits the company and its owners for marketing dietary supplements until they, among other things, recall and destroy the dietary supplements that have been manufactured or distributed since April 2, 2014, hire a cGMP expert and receive written permission from FDA to resume operations.",major
Ardent Mills is voluntarily recalling certain lots of Self-Rising Flour because it has the potential to be contaminated with Salmonella.,severe
"Bread, muffin, and brownie mixes may have been manufactured with flour contaminated with E. coli O121",severe
Falcon Trading Company Inc. used peanut butter in their products that is now under recall by Sunland Inc. due to potential Salmonella contamination.,major
"Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.",major
"Blue Planet products that contain the two recalled Dakota Specialty Milling ingredients; distribution of recalled bulk, wholesale, and cereal items.",major
Wysong Corporation is conducting a voluntary recall of multiple varieties of Protein Key brand protein meals due to undeclared allergen soy.,major
Possible Listeria monocytogenes in product,severe
Various sandwiches have the potential to be contaminated with Listeria monocytogenes.,severe
Undeclared peanut protein in products containing cumin,major
"Product is recalled due to undeclared wheat, milk, and soy.",moderate
Undeclared allergen; Peanut Protein,moderate
Products not manufactured under GMP's,major
Product may contain undeclared soy.,moderate
Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,major
"Diced Celery and Celery Sticks, packaged in vacuum bags, is recalled due to a potential for Clostridium botulinum growth and toxin formation.",major
Greek yogurt product Chobani brand is recalled due to report of illnesses and product bloated and swollen.,major
Undeclared peanut allergen,moderate
Recall initiated as a precautionary measure due to potential risk of product contamination with Burkholderia cepacia.,major
Milk products and shipped without being properly pasteurized.,major
Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,moderate
"Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",severe
"Metal fragments in raw material (lactic acid) of flavorings, recalled by manufacturing firm, were used in the product.",major
During an FDA investigation the firm was notified that the product contains undeclared shellfish.,moderate
"During an FDA inspection the firm was notified that their bulk product lacked labels. Due to the lack of ingredient statement, the firm failed to declare direct allergens for the products. The products also lacked the declaration that they are packaged in a facility that processes peanuts, tree nuts, wheat, milk and eggs.",major
The recalling firm was notified that raw materials used in producing the ice cream products have the potential to be contaminated with Listeria monocytogenes,severe
The states of Alabama and North Carolina through independent testing notified JM Smucker that aflatoxin levels exceeded FDA specification (<20 ppb). Levels tested ranged from 30 ppb to 207 ppb.,major
The recalling firm was notified that raw materials used in producing the ice cream products have the potential to be contaminated with Listeria monocytogenes,severe
Product may be contaminated with Listeria monocytogenes.,severe
May contain small metal fragments from wire mesh sifter.,moderate
Products contain onions purchased from ProSource and associated with a Salmonella Oranienburg outbreak.,major
Product may contain undeclared milk.,moderate
Random sampling of spinach from vendor found Enterohemorrhagic E-Coli/Shiga Toxin Producing E. Coli.,moderate
Losurdo Foods has recalled one lot of Grated Cheese Pecorino Romano due to Listeria monocytogenes contamination.,major
"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.",major
an ingredient in this product was manufactured during the time-frame and on the same piece of equipment that was associated with a salmonella outbreak.,major
"GKI Foods of Brighton, Michigan is voluntarily recalling multiple dark chocolate products because they may contain an undeclared milk allergen.",moderate
Dairy Queen Vanilla Soft Serve Mix was made from milk which was tested presumptive positive for beta lactam antibiotics. The firm did not conduct any confirmation test.,moderate
Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,major
"Pursuant to a consent decree that prohibits the company and its owners for marketing dietary supplements until they, among other things, recall and destroy the dietary supplements that have been manufactured or distributed since April 2, 2014, hire a cGMP expert and receive written permission from FDA to resume operations.",major
Multiple laboratory analysis found multiple instances where various cheeses exceed allowed limits of generic E. coli.,major
Undeclared Milk.  Products may be contaminated with milk residue.,moderate
The firm recalled due to a potential non-safety quality concern related to a particular ingredient that was causing premature spoilage.,major
East-West Specialty Sauces is recalling Classic Sweet & Sour Sauce due to mislabeling.  The  Zesty Orange sauce had been mislabeled with Sweet & Sour labels East-West Specialty Sauces is recalling Classic Sweet & Sour Sauce due to mislabeling.  The  Zesty Orange sauce had been mislabeled with Sweet & Sour labels which presents a potential wheat and soy allergen issue.,major
Products may be contaminated with  Listeria monocytogenes.,severe
"The Santa Barbara Smokehouse, Inc. is recalling fresh and frozen cold smoked salmon due to potential Listeria Monocytogenes contamination.",major
Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,major
The products have the potential to be contaminated with Listeria monocytogenes based on the findings of the bacteria in the plant via FDA environmental sampling plus the district's inspectional findings,severe
Product contains undeclared peanuts,moderate
"Various Peanut butters, cheese spreads, cold pack cheese, salsa, cheese balls/logs have the potential to be contaminated with Listeria monocytogenes.",severe
"Zingerman's BAKEHOUSE pastry labels were found not identifying the source of butter and cream ingredients as milk; the source of flour as wheat, and lacking identity of soy allergen found in products.",moderate
"During a FDA inspection, it was disclosed that the firm is not documenting the mixing time of the product nor is pH monitoring for each kettle/batch mixed being conducted. The product is a shelf stable garlic spread.",moderate
"The recall was initiated because Authentic Gourmet was alerted by FDA sample analysis that the Strawberry Cake and the Raspberry Cake has non-permitted color additive and allergen, cochineal red A (also known as ponceau 4R).",major
"During an FDA inspection the firm was notified that their bulk product lacked labels. Due to the lack of ingredient statement, the firm failed to declare direct allergens for the products. The products also lacked the declaration that they are packaged in a facility that processes peanuts, tree nuts, wheat, milk and eggs.",major
Potential contamination with Salmonella,major
Product may be contaminated with Salmonella.,moderate
The product may contain undeclared milk due potential product mix-up.,moderate
"River Ranch was notified that two separate samples of products pulled by the FDA which were produced by River Ranch, tested positive for Listeria monocytogenes.",severe
"The firm was notified by their customer that the ingredient statement on their packets of LaRosa Creamy Garlic Dressing and LaRosa Italian Dressing were switched.  Therefore, rendering them to be misbranded due to undeclared Allergens of Milk, Egg and/or Sulfites.",moderate
undeclared soy lecithin,moderate
"Dawn's Foods is recalling Dawn's Deluxe Potato Salad and Dawn's Deviled Egg Potato Salad due to mis-labeling and potential undeclared milk, wheat and soy.  Some containers labeled as Dawn's Deluxe Potato Salad may inadvertently contain Dawn's Deviled Egg Potato Salad, which contains soy and wheat.  Some containers of Dawn's Deviled Egg Potato Salad may inadvertently contain Dawn's Deluxe Macaroni",moderate
Chocolate contains undeclared milk and soy,moderate
MegaMex Foods is recalling Herdez Chilpotle Peppers product due to an undeclared wheat allergen.,moderate
Requeson soft cheese is recalled because of a potential to be contaminated with Listeria monocytogenes.,severe
Sharp edges were observed on several of the cans which have the potential of causing cuts on the mouths of consumers who use the product.,moderate
Product may be contaminated with Listeria monocytogenes.,severe
Potential contamination with Salmonella Newport.,major
Potential Salmonella contamination.,major
Product is potentially contaminated with Listeria Monocytogenes.,severe
CFIA sampled one salad product which resulted in a positive result for Listeria monocytogenes.,severe
"During an internal audit at the manufacturing location, it was discovered that finished product had been released on numerous occasions after receiving presumptive positive test results for Listeria monocytogenes and Salmonella; confirmation was not conducted.",severe
Product may contain metal fragments.,moderate
High lead levels in products,major
Product has the potential to be contaminated with Salmonella.,severe
"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",severe
Undeclared allergen; egg.,moderate
CHO Fuku Group Inc. is recalling Sanh Yuan Preserved Plum Candy (Sweet and Sour Prune) because of unacceptable levels of lead.,major
"Various Peanut butters, cheese spreads, cold pack cheese, salsa, cheese balls/logs have the potential to be contaminated with Listeria monocytogenes.",severe
Listeria monocytogenes found on food contact surfaces and non-food contact surfaces.,severe
Beginning 11/01/2012 Garden Fresh Gourmet recalled El Matador & Garden Fresh Gourmet Salted Tortilla Chips because quality standards of ingredients used in the products were not met.,major
RADER FARMS¿ Fresh Start Smoothie Blend is recalled due to potential for contamination with Listeria monocytogenes.,major
Potential contamination with Salmonella Newport.,major
"Foreign Matter (a 1/8  long x 8mm, white & blue strand) found on product.",moderate
"The labels on two-liter batches of Regular and Diet Wild Cherry Pepsi were mistakenly swapped during production. This is potential safety issue for individuals who are sensitive to phenylalanine (i.e., phenylketonuric) or who are diabetic.",severe
"Command Nutritionals LLC is recalling Hard Blast-Pink Lemonade and Juggernaut- Various flavors due to contaminated L-Citrulline which was received from Axel Chemicals, Brentwood, TN.",major
Products containing almonds and pecans were distributed in packaging that was mislabeled and did not reveal the presence of almonds and pecans.,major
Dr. Praeger's Gluten Free California Burgers contain undeclared soy.,moderate
"The product lists butter as an ingredient but fails to declare the allergen ""milk"" (a component of the butter).",moderate
Undeclared egg.  Egg containing-macaroni was inadvertently mixed with macaroni that did not contain egg.,moderate
Product may have been sliced on the same equipment where the mortadella with pistachios was sliced.,moderate
Potential foreign materials contamination.,major
Product may contain undeclared almond flour.,moderate
The ice cream mix did not meet pasteurization specifications.,severe
The recalled products are potentially contaminated with Listeria monocytogenes.,severe
potential to be contaminated with Listeria monocytogenes,severe
GoMacro is recalling  specific MacroBars and Thrive Bars because they may be contaminated with Listeria monocytogenes.,severe
Nitrofuran (SCA) was found in the product during routine third party lab testing.,moderate
"Supplier notified firm that the oil used to roast nuts for a trail mix product had also been used to roast peanuts, leading to the possibility of peanut contamination. Peanuts were not listed in the allergen statement.",moderate
"Royal Seafood Baza, Inc. has recalled all pickled products produced on 3/1/2016, 3/2/2016 and also all herring products produced on 2/29/2016 due to possible contamination with Listeria monocytogenes.",major
"Full Tilt Brand ice cream is being recalled due to the potential to be contaminated with Listeria monocytogenes. These products contain ice cream mix, an ingredient manufactured and recalled by Snoqualmie Gourmet Ice Cream, Inc.",major
